Month and Year,industries,number
April 2016,Manufacture of wood and of products of wood and cork; except furniture; manufacture of articles of straw and plaiting materials,22
April 2016,Manufacture of paper and paper products,1
April 2016,Printing and duplication of recorded material,8
April 2016,Production of coke and refined petroleum products,5
April 2016,Manufacture of chemicals and chemical products,22
April 2016,Manufacture of pharmaceutical preparations and preparations,
April 2016,Manufacture of rubber and plastic products,7
April 2016,Manufacture of non-metallic mineral products,9
April 2016,Manufacture of basic metals,6
April 2016,Manufacture of fabricated metal products; except machinery and equipment,21
April 2016,Manufacture of computer; electronic and optical products,26
April 2016,Manufacture of electrical and household appliances,20
April 2016,Manufacture of other machinery and equipment nec,2
April 2016,Manufacture of motor vehicles and trailers,2
April 2016,Manufacture of other vehicles,7
April 2016,Manufacture of furniture and fittings,
April 2016,Production; nec,8
April 2016,Repair and installation of hardware and equipment,2
April 2016,Electricity; gas and heating utilities; refrigeration and ventilation systems,12
April 2016,Water supply; collection and treatment of water,18
April 2016,Garbage collection; treatment and disposal of waste; material reuse,8
April 2016,Decontamination and other waste treatment services,3
April 2016,Housing construction; development of construction projects,
April 2016,Civil engineering,23
April 2016,Specialized construction activities,
April 2016,Sale; repair and maintenance of motor vehicles and trailers,115
April 2016,Wholesale trade; except of motor vehicles and motorcycles,25
April 2016,Retail trade; except of motor vehicles and motorcycles,116
April 2016,Land transport and by pipeline,109
April 2016,Transport by sea and waterways,230
April 2016,Air transportation,498
April 2016,Warehousing and support activities for transport,46
April 2016,Post and courier services,26
April 2016,Operation of accommodation,13
April 2016,Catering and service,82
April 2016,Publishing activities,74
April 2016,Production of films; videos and television material; audio recording and music publishing,187
April 2016,Radio and television broadcasting; programming,303
April 2016,Telecommunications,41
April 2016,Information technology services,24
April 2016,Information service activities,29
April 2016,Financial services; excluding the activities of insurance companies and pension funds,23
April 2016,Insurance companies; reinsurance companies and pension funds; other than compulsory social security,61
April 2016,Activities related to financial services and insurance,21
April 2016,Real estate,114
April 2016,Legal services and accounting,13
April 2016,Headquarters operations; operations consultancy activities,9
April 2016,Activities of architects and engineers; technical tests and analysis,57
April 2016,Scientific research and development,38
April 2016,Advertising and marketing research,43
April 2016,Other professional; scientific and technical activities,33
April 2016,Veterinary medicine,19
April 2016,Rental activities; except real estate leasing,20
April 2016,Employment agency,15
April 2016,Travel agencies; tour operators and other booking services,1
April 2016,Security and research activities,34
April 2016,Real estate management; cleaning services and ornamental gardening,3
April 2016,Office services and other business services,55
April 2016,Public administration; defense and social security,32
April 2016,Educational activities,180
April 2016,Health care,46
April 2016,Care in residential homes,43
April 2016,Social services without a stay in an institution,236
April 2016,Creative arts and entertainment,98
April 2016,Museum activities and other cultural activities,109
April 2016,Financial risk and betting activities,56
April 2016,Sports and leisure activities,26
April 2016,Activities of NGOs,32
April 2016,Repair of computers and objects for personal and household use,2
April 2016,Other service activities,75
April 2016,Housekeeping with paid staff,72
April 2016,Service activities and home production of various products for personal use,12
April 2016,Activities of extra territorial organisations and bodies,61
April 2016,Working from home,
April 2016,Student,1
April 2016,No work history,
April 2016,Uncertain,151
May 2016,Cultivation of crops and animal husbandry; hunting and related service activities,48
May 2016,Forestry and logging,9
May 2016,Fishing and aquaculture,124
May 2016,Coal mining,70
May 2016,Crude oil and natural gas production,
May 2016,Metallurgy and metallurgy,1
May 2016,Mining and processing of other raw materials from the ground,1
May 2016,Mining services,1
May 2016,Food production,198
May 2016,Manufacture of beverages,147
May 2016,Manufacture of textiles,26
May 2016,Clothing making,
May 2016,Manufacture of leather and leather products,1
May 2016,Manufacture of wood and of products of wood and cork; except furniture; manufacture of articles of straw and plaiting materials,26
May 2016,Manufacture of paper and paper products,1
May 2016,Printing and duplication of recorded material,8
May 2016,Production of coke and refined petroleum products,5
May 2016,Manufacture of chemicals and chemical products,17
May 2016,Manufacture of pharmaceutical preparations and preparations,
May 2016,Manufacture of rubber and plastic products,6
May 2016,Manufacture of non-metallic mineral products,7
May 2016,Manufacture of basic metals,6
May 2016,Manufacture of fabricated metal products; except machinery and equipment,18
May 2016,Manufacture of computer; electronic and optical products,21
May 2016,Manufacture of electrical and household appliances,20
May 2016,Manufacture of other machinery and equipment nec,1
May 2016,Manufacture of motor vehicles and trailers,1
May 2016,Manufacture of other vehicles,8
May 2016,Manufacture of furniture and fittings,
May 2016,Production; nec,8
May 2016,Repair and installation of hardware and equipment,2
May 2016,Electricity; gas and heating utilities; refrigeration and ventilation systems,11
May 2016,Water supply; collection and treatment of water,16
May 2016,Garbage collection; treatment and disposal of waste; material reuse,8
May 2016,Decontamination and other waste treatment services,2
May 2016,Housing construction; development of construction projects,
May 2016,Civil engineering,20
May 2016,Specialized construction activities,
May 2016,Sale; repair and maintenance of motor vehicles and trailers,102
May 2016,Wholesale trade; except of motor vehicles and motorcycles,18
May 2016,Retail trade; except of motor vehicles and motorcycles,90
May 2016,Land transport and by pipeline,98
May 2016,Transport by sea and waterways,223
May 2016,Air transportation,456
May 2016,Warehousing and support activities for transport,42
May 2016,Post and courier services,27
May 2016,Operation of accommodation,7
May 2016,Catering and service,81
May 2016,Publishing activities,69
May 2016,Production of films; videos and television material; audio recording and music publishing,172
May 2016,Radio and television broadcasting; programming,282
May 2016,Telecommunications,39
May 2016,Information technology services,26
May 2016,Information service activities,27
May 2016,Financial services; excluding the activities of insurance companies and pension funds,21
May 2016,Insurance companies; reinsurance companies and pension funds; other than compulsory social security,60
May 2016,Activities related to financial services and insurance,19
May 2016,Real estate,102
May 2016,Legal services and accounting,11
May 2016,Headquarters operations; operations consultancy activities,8
May 2016,Activities of architects and engineers; technical tests and analysis,48
May 2016,Scientific research and development,33
May 2016,Advertising and marketing research,38
May 2016,Other professional; scientific and technical activities,30
May 2016,Veterinary medicine,16
May 2016,Rental activities; except real estate leasing,22
May 2016,Employment agency,17
May 2016,Travel agencies; tour operators and other booking services,1
May 2016,Security and research activities,24
May 2016,Real estate management; cleaning services and ornamental gardening,4
May 2016,Office services and other business services,46
May 2016,Public administration; defense and social security,30
May 2016,Educational activities,166
May 2016,Health care,44
May 2016,Care in residential homes,38
May 2016,Social services without a stay in an institution,230
May 2016,Creative arts and entertainment,90
May 2016,Museum activities and other cultural activities,105
May 2016,Financial risk and betting activities,52
May 2016,Sports and leisure activities,23
May 2016,Activities of NGOs,27
May 2016,Repair of computers and objects for personal and household use,2
May 2016,Other service activities,67
May 2016,Housekeeping with paid staff,73
May 2016,Service activities and home production of various products for personal use,11
May 2016,Activities of extra territorial organisations and bodies,61
May 2016,Working from home,1
May 2016,Student,
May 2016,No work history,
May 2016,Uncertain,155
June 2016,Cultivation of crops and animal husbandry; hunting and related service activities,44
June 2016,Forestry and logging,7
June 2016,Fishing and aquaculture,134
June 2016,Coal mining,69
June 2016,Crude oil and natural gas production,1
June 2016,Metallurgy and metallurgy,1
June 2016,Mining and processing of other raw materials from the ground,
June 2016,Mining services,1
June 2016,Food production,183
June 2016,Manufacture of beverages,122
June 2016,Manufacture of textiles,27
June 2016,Clothing making,
June 2016,Manufacture of leather and leather products,1
June 2016,Manufacture of wood and of products of wood and cork; except furniture; manufacture of articles of straw and plaiting materials,24
June 2016,Manufacture of paper and paper products,1
June 2016,Printing and duplication of recorded material,5
June 2016,Production of coke and refined petroleum products,5
June 2016,Manufacture of chemicals and chemical products,16
June 2016,Manufacture of pharmaceutical preparations and preparations,
June 2016,Manufacture of rubber and plastic products,8
June 2016,Manufacture of non-metallic mineral products,5
June 2016,Manufacture of basic metals,8
June 2016,Manufacture of fabricated metal products; except machinery and equipment,17
June 2016,Manufacture of computer; electronic and optical products,19
June 2016,Manufacture of electrical and household appliances,23
June 2016,Manufacture of other machinery and equipment nec,
June 2016,Manufacture of motor vehicles and trailers,1
June 2016,Manufacture of other vehicles,11
June 2016,Manufacture of furniture and fittings,
June 2016,Production; nec,9
June 2016,Repair and installation of hardware and equipment,3
June 2016,Electricity; gas and heating utilities; refrigeration and ventilation systems,14
June 2016,Water supply; collection and treatment of water,18
June 2016,Garbage collection; treatment and disposal of waste; material reuse,7
June 2016,Decontamination and other waste treatment services,2
June 2016,Housing construction; development of construction projects,
June 2016,Civil engineering,19
June 2016,Specialized construction activities,
June 2016,Sale; repair and maintenance of motor vehicles and trailers,94
June 2016,Wholesale trade; except of motor vehicles and motorcycles,16
June 2016,Retail trade; except of motor vehicles and motorcycles,78
June 2016,Land transport and by pipeline,96
June 2016,Transport by sea and waterways,205
June 2016,Air transportation,416
June 2016,Warehousing and support activities for transport,36
June 2016,Post and courier services,25
June 2016,Operation of accommodation,6
June 2016,Catering and service,73
June 2016,Publishing activities,65
June 2016,Production of films; videos and television material; audio recording and music publishing,157
June 2016,Radio and television broadcasting; programming,267
June 2016,Telecommunications,32
June 2016,Information technology services,23
June 2016,Information service activities,29
June 2016,Financial services; excluding the activities of insurance companies and pension funds,25
June 2016,Insurance companies; reinsurance companies and pension funds; other than compulsory social security,64
June 2016,Activities related to financial services and insurance,19
June 2016,Real estate,101
June 2016,Legal services and accounting,8
June 2016,Headquarters operations; operations consultancy activities,8
June 2016,Activities of architects and engineers; technical tests and analysis,48
June 2016,Scientific research and development,31
June 2016,Advertising and marketing research,42
June 2016,Other professional; scientific and technical activities,29
June 2016,Veterinary medicine,17
June 2016,Rental activities; except real estate leasing,19
June 2016,Employment agency,18
June 2016,Travel agencies; tour operators and other booking services,1
June 2016,Security and research activities,21
June 2016,Real estate management; cleaning services and ornamental gardening,4
June 2016,Office services and other business services,51
June 2016,Public administration; defense and social security,19
June 2016,Educational activities,168
June 2016,Health care,41
June 2016,Care in residential homes,40
June 2016,Social services without a stay in an institution,246
June 2016,Creative arts and entertainment,83
June 2016,Museum activities and other cultural activities,101
June 2016,Financial risk and betting activities,56
June 2016,Sports and leisure activities,21
June 2016,Activities of NGOs,21
June 2016,Repair of computers and objects for personal and household use,2
June 2016,Other service activities,60
June 2016,Housekeeping with paid staff,72
June 2016,Service activities and home production of various products for personal use,11
June 2016,Activities of extra territorial organisations and bodies,56
June 2016,Working from home,2
June 2016,Student,
June 2016,No work history,
June 2016,Uncertain,164
July 2016,Cultivation of crops and animal husbandry; hunting and related service activities,41
July 2016,Forestry and logging,6
July 2016,Fishing and aquaculture,135
July 2016,Coal mining,74
July 2016,Crude oil and natural gas production,3
July 2016,Metallurgy and metallurgy,1
July 2016,Mining and processing of other raw materials from the ground,1
July 2016,Mining services,1
July 2016,Food production,159
July 2016,Manufacture of beverages,124
July 2016,Manufacture of textiles,22
July 2016,Clothing making,
July 2016,Manufacture of leather and leather products,2
July 2016,Manufacture of wood and of products of wood and cork; except furniture; manufacture of articles of straw and plaiting materials,25
July 2016,Manufacture of paper and paper products,5
July 2016,Printing and duplication of recorded material,2
July 2016,Production of coke and refined petroleum products,5
July 2016,Manufacture of chemicals and chemical products,18
July 2016,Manufacture of pharmaceutical preparations and preparations,
July 2016,Manufacture of rubber and plastic products,9
July 2016,Manufacture of non-metallic mineral products,7
July 2016,Manufacture of basic metals,8
July 2016,Manufacture of fabricated metal products; except machinery and equipment,14
July 2016,Manufacture of computer; electronic and optical products,19
July 2016,Manufacture of electrical and household appliances,22
July 2016,Manufacture of other machinery and equipment nec,
July 2016,Manufacture of motor vehicles and trailers,1
July 2016,Manufacture of other vehicles,10
July 2016,Manufacture of furniture and fittings,
July 2016,Production; nec,10
July 2016,Repair and installation of hardware and equipment,3
July 2016,Electricity; gas and heating utilities; refrigeration and ventilation systems,11
July 2016,Water supply; collection and treatment of water,16
July 2016,Garbage collection; treatment and disposal of waste; material reuse,7
July 2016,Decontamination and other waste treatment services,3
July 2016,Housing construction; development of construction projects,
July 2016,Civil engineering,14
July 2016,Specialized construction activities,
July 2016,Sale; repair and maintenance of motor vehicles and trailers,92
July 2016,Wholesale trade; except of motor vehicles and motorcycles,13
July 2016,Retail trade; except of motor vehicles and motorcycles,77
July 2016,Land transport and by pipeline,89
July 2016,Transport by sea and waterways,193
July 2016,Air transportation,384
July 2016,Warehousing and support activities for transport,27
July 2016,Post and courier services,20
July 2016,Operation of accommodation,7
July 2016,Catering and service,61
July 2016,Publishing activities,64
July 2016,Production of films; videos and television material; audio recording and music publishing,154
July 2016,Radio and television broadcasting; programming,254
July 2016,Telecommunications,28
July 2016,Information technology services,22
July 2016,Information service activities,32
July 2016,Financial services; excluding the activities of insurance companies and pension funds,22
July 2016,Insurance companies; reinsurance companies and pension funds; other than compulsory social security,64
July 2016,Activities related to financial services and insurance,19
July 2016,Real estate,102
July 2016,Legal services and accounting,8
July 2016,Headquarters operations; operations consultancy activities,10
July 2016,Activities of architects and engineers; technical tests and analysis,38
July 2016,Scientific research and development,30
July 2016,Advertising and marketing research,45
July 2016,Other professional; scientific and technical activities,28
July 2016,Veterinary medicine,15
July 2016,Rental activities; except real estate leasing,17
July 2016,Employment agency,14
July 2016,Travel agencies; tour operators and other booking services,1
July 2016,Security and research activities,24
July 2016,Real estate management; cleaning services and ornamental gardening,4
July 2016,Office services and other business services,44
July 2016,Public administration; defense and social security,19
July 2016,Educational activities,177
July 2016,Health care,46
July 2016,Care in residential homes,41
July 2016,Social services without a stay in an institution,252
July 2016,Creative arts and entertainment,84
July 2016,Museum activities and other cultural activities,98
July 2016,Financial risk and betting activities,56
July 2016,Sports and leisure activities,22
July 2016,Activities of NGOs,22
July 2016,Repair of computers and objects for personal and household use,2
July 2016,Other service activities,52
July 2016,Housekeeping with paid staff,78
July 2016,Service activities and home production of various products for personal use,9
July 2016,Activities of extra territorial organisations and bodies,57
July 2016,Working from home,3
July 2016,Student,
July 2016,No work history,
July 2016,Uncertain,139
August 2016,Cultivation of crops and animal husbandry; hunting and related service activities,41
August 2016,Forestry and logging,6
August 2016,Fishing and aquaculture,129
August 2016,Coal mining,68
August 2016,Crude oil and natural gas production,1
August 2016,Metallurgy and metallurgy,1
August 2016,Mining and processing of other raw materials from the ground,1
August 2016,Mining services,1
August 2016,Food production,155
August 2016,Manufacture of beverages,131
August 2016,Manufacture of textiles,18
August 2016,Clothing making,
August 2016,Manufacture of leather and leather products,3
August 2016,Manufacture of wood and of products of wood and cork; except furniture; manufacture of articles of straw and plaiting materials,27
August 2016,Manufacture of paper and paper products,4
August 2016,Printing and duplication of recorded material,3
August 2016,Production of coke and refined petroleum products,4
August 2016,Manufacture of chemicals and chemical products,14
August 2016,Manufacture of pharmaceutical preparations and preparations,
August 2016,Manufacture of rubber and plastic products,7
August 2016,Manufacture of non-metallic mineral products,7
August 2016,Manufacture of basic metals,7
August 2016,Manufacture of fabricated metal products; except machinery and equipment,16
August 2016,Manufacture of computer; electronic and optical products,23
August 2016,Manufacture of electrical and household appliances,22
August 2016,Manufacture of other machinery and equipment nec,
August 2016,Manufacture of motor vehicles and trailers,2
August 2016,Manufacture of other vehicles,11
August 2016,Manufacture of furniture and fittings,
August 2016,Production; nec,10
August 2016,Repair and installation of hardware and equipment,3
August 2016,Electricity; gas and heating utilities; refrigeration and ventilation systems,12
August 2016,Water supply; collection and treatment of water,11
August 2016,Garbage collection; treatment and disposal of waste; material reuse,7
August 2016,Decontamination and other waste treatment services,1
August 2016,Housing construction; development of construction projects,
August 2016,Civil engineering,14
August 2016,Specialized construction activities,1
August 2016,Sale; repair and maintenance of motor vehicles and trailers,93
August 2016,Wholesale trade; except of motor vehicles and motorcycles,16
August 2016,Retail trade; except of motor vehicles and motorcycles,68
August 2016,Land transport and by pipeline,85
August 2016,Transport by sea and waterways,181
August 2016,Air transportation,371
August 2016,Warehousing and support activities for transport,31
August 2016,Post and courier services,19
August 2016,Operation of accommodation,6
August 2016,Catering and service,57
August 2016,Publishing activities,67
August 2016,Production of films; videos and television material; audio recording and music publishing,150
August 2016,Radio and television broadcasting; programming,222
August 2016,Telecommunications,31
August 2016,Information technology services,18
August 2016,Information service activities,25
August 2016,Financial services; excluding the activities of insurance companies and pension funds,20
August 2016,Insurance companies; reinsurance companies and pension funds; other than compulsory social security,72
August 2016,Activities related to financial services and insurance,19
August 2016,Real estate,100
August 2016,Legal services and accounting,10
August 2016,Headquarters operations; operations consultancy activities,10
August 2016,Activities of architects and engineers; technical tests and analysis,36
August 2016,Scientific research and development,29
August 2016,Advertising and marketing research,38
August 2016,Other professional; scientific and technical activities,24
August 2016,Veterinary medicine,13
August 2016,Rental activities; except real estate leasing,15
August 2016,Employment agency,16
August 2016,Travel agencies; tour operators and other booking services,1
August 2016,Security and research activities,25
August 2016,Real estate management; cleaning services and ornamental gardening,5
August 2016,Office services and other business services,40
August 2016,Public administration; defense and social security,23
August 2016,Educational activities,151
August 2016,Health care,43
August 2016,Care in residential homes,40
August 2016,Social services without a stay in an institution,230
August 2016,Creative arts and entertainment,78
August 2016,Museum activities and other cultural activities,91
August 2016,Financial risk and betting activities,46
August 2016,Sports and leisure activities,21
August 2016,Activities of NGOs,19
August 2016,Repair of computers and objects for personal and household use,2
August 2016,Other service activities,40
August 2016,Housekeeping with paid staff,70
August 2016,Service activities and home production of various products for personal use,9
August 2016,Activities of extra territorial organisations and bodies,54
August 2016,Working from home,3
August 2016,Student,
August 2016,No work history,
August 2016,Uncertain,149
September 2016,Cultivation of crops and animal husbandry; hunting and related service activities,42
September 2016,Forestry and logging,12
September 2016,Fishing and aquaculture,112
September 2016,Coal mining,65
September 2016,Crude oil and natural gas production,1
September 2016,Metallurgy and metallurgy,2
September 2016,Mining and processing of other raw materials from the ground,1
September 2016,Mining services,
September 2016,Food production,148
September 2016,Manufacture of beverages,120
September 2016,Manufacture of textiles,17
September 2016,Clothing making,
September 2016,Manufacture of leather and leather products,3
September 2016,Manufacture of wood and of products of wood and cork; except furniture; manufacture of articles of straw and plaiting materials,25
September 2016,Manufacture of paper and paper products,2
September 2016,Printing and duplication of recorded material,4
September 2016,Production of coke and refined petroleum products,4
September 2016,Manufacture of chemicals and chemical products,14
September 2016,Manufacture of pharmaceutical preparations and preparations,
September 2016,Manufacture of rubber and plastic products,8
September 2016,Manufacture of non-metallic mineral products,9
September 2016,Manufacture of basic metals,6
September 2016,Manufacture of fabricated metal products; except machinery and equipment,9
September 2016,Manufacture of computer; electronic and optical products,22
September 2016,Manufacture of electrical and household appliances,20
September 2016,Manufacture of other machinery and equipment nec,1
September 2016,Manufacture of motor vehicles and trailers,2
September 2016,Manufacture of other vehicles,13
September 2016,Manufacture of furniture and fittings,
September 2016,Production; nec,12
September 2016,Repair and installation of hardware and equipment,2
September 2016,Electricity; gas and heating utilities; refrigeration and ventilation systems,14
September 2016,Water supply; collection and treatment of water,12
September 2016,Garbage collection; treatment and disposal of waste; material reuse,11
September 2016,Decontamination and other waste treatment services,1
September 2016,Housing construction; development of construction projects,
September 2016,Civil engineering,10
September 2016,Specialized construction activities,1
September 2016,Sale; repair and maintenance of motor vehicles and trailers,95
September 2016,Wholesale trade; except of motor vehicles and motorcycles,15
September 2016,Retail trade; except of motor vehicles and motorcycles,65
September 2016,Land transport and by pipeline,75
September 2016,Transport by sea and waterways,173
September 2016,Air transportation,320
September 2016,Warehousing and support activities for transport,38
September 2016,Post and courier services,17
September 2016,Operation of accommodation,10
September 2016,Catering and service,55
September 2016,Publishing activities,58
September 2016,Production of films; videos and television material; audio recording and music publishing,153
September 2016,Radio and television broadcasting; programming,207
September 2016,Telecommunications,38
September 2016,Information technology services,16
September 2016,Information service activities,23
September 2016,Financial services; excluding the activities of insurance companies and pension funds,20
September 2016,Insurance companies; reinsurance companies and pension funds; other than compulsory social security,79
September 2016,Activities related to financial services and insurance,16
September 2016,Real estate,92
September 2016,Legal services and accounting,8
September 2016,Headquarters operations; operations consultancy activities,13
September 2016,Activities of architects and engineers; technical tests and analysis,32
September 2016,Scientific research and development,28
September 2016,Advertising and marketing research,38
September 2016,Other professional; scientific and technical activities,25
September 2016,Veterinary medicine,16
September 2016,Rental activities; except real estate leasing,14
September 2016,Employment agency,19
September 2016,Travel agencies; tour operators and other booking services,1
September 2016,Security and research activities,23
September 2016,Real estate management; cleaning services and ornamental gardening,3
September 2016,Office services and other business services,54
September 2016,Public administration; defense and social security,28
September 2016,Educational activities,145
September 2016,Health care,40
September 2016,Care in residential homes,40
September 2016,Social services without a stay in an institution,195
September 2016,Creative arts and entertainment,88
September 2016,Museum activities and other cultural activities,85
September 2016,Financial risk and betting activities,54
September 2016,Sports and leisure activities,18
September 2016,Activities of NGOs,17
September 2016,Repair of computers and objects for personal and household use,2
September 2016,Other service activities,43
September 2016,Housekeeping with paid staff,62
September 2016,Service activities and home production of various products for personal use,8
September 2016,Activities of extra territorial organisations and bodies,48
September 2016,Working from home,4
September 2016,Student,
September 2016,No work history,
September 2016,Uncertain,139
October 2016,Cultivation of crops and animal husbandry; hunting and related service activities,38
October 2016,Forestry and logging,6
October 2016,Fishing and aquaculture,112
October 2016,Coal mining,66
October 2016,Crude oil and natural gas production,2
October 2016,Metallurgy and metallurgy,2
October 2016,Mining and processing of other raw materials from the ground,1
October 2016,Mining services,
October 2016,Food production,176
October 2016,Manufacture of beverages,126
October 2016,Manufacture of textiles,17
October 2016,Clothing making,
October 2016,Manufacture of leather and leather products,4
October 2016,Manufacture of wood and of products of wood and cork; except furniture; manufacture of articles of straw and plaiting materials,23
October 2016,Manufacture of paper and paper products,1
October 2016,Printing and duplication of recorded material,5
October 2016,Production of coke and refined petroleum products,3
October 2016,Manufacture of chemicals and chemical products,17
October 2016,Manufacture of pharmaceutical preparations and preparations,
October 2016,Manufacture of rubber and plastic products,5
October 2016,Manufacture of non-metallic mineral products,9
October 2016,Manufacture of basic metals,4
October 2016,Manufacture of fabricated metal products; except machinery and equipment,12
October 2016,Manufacture of computer; electronic and optical products,27
October 2016,Manufacture of electrical and household appliances,25
October 2016,Manufacture of other machinery and equipment nec,1
October 2016,Manufacture of motor vehicles and trailers,2
October 2016,Manufacture of other vehicles,11
October 2016,Manufacture of furniture and fittings,
October 2016,Production; nec,9
October 2016,Repair and installation of hardware and equipment,2
October 2016,Electricity; gas and heating utilities; refrigeration and ventilation systems,12
October 2016,Water supply; collection and treatment of water,11
October 2016,Garbage collection; treatment and disposal of waste; material reuse,10
October 2016,Decontamination and other waste treatment services,1
October 2016,Housing construction; development of construction projects,
October 2016,Civil engineering,10
October 2016,Specialized construction activities,1
October 2016,Sale; repair and maintenance of motor vehicles and trailers,103
October 2016,Wholesale trade; except of motor vehicles and motorcycles,16
October 2016,Retail trade; except of motor vehicles and motorcycles,61
October 2016,Land transport and by pipeline,76
October 2016,Transport by sea and waterways,184
October 2016,Air transportation,338
October 2016,Warehousing and support activities for transport,39
October 2016,Post and courier services,23
October 2016,Operation of accommodation,28
October 2016,Catering and service,65
October 2016,Publishing activities,60
October 2016,Production of films; videos and television material; audio recording and music publishing,151
October 2016,Radio and television broadcasting; programming,203
October 2016,Telecommunications,39
October 2016,Information technology services,14
October 2016,Information service activities,20
October 2016,Financial services; excluding the activities of insurance companies and pension funds,18
October 2016,Insurance companies; reinsurance companies and pension funds; other than compulsory social security,71
October 2016,Activities related to financial services and insurance,14
October 2016,Real estate,92
October 2016,Legal services and accounting,9
October 2016,Headquarters operations; operations consultancy activities,14
October 2016,Activities of architects and engineers; technical tests and analysis,39
October 2016,Scientific research and development,26
October 2016,Advertising and marketing research,42
October 2016,Other professional; scientific and technical activities,30
October 2016,Veterinary medicine,15
October 2016,Rental activities; except real estate leasing,11
October 2016,Employment agency,17
October 2016,Travel agencies; tour operators and other booking services,1
October 2016,Security and research activities,27
October 2016,Real estate management; cleaning services and ornamental gardening,4
October 2016,Office services and other business services,66
October 2016,Public administration; defense and social security,27
October 2016,Educational activities,154
October 2016,Health care,40
October 2016,Care in residential homes,38
October 2016,Social services without a stay in an institution,183
October 2016,Creative arts and entertainment,80
October 2016,Museum activities and other cultural activities,91
October 2016,Financial risk and betting activities,59
October 2016,Sports and leisure activities,18
October 2016,Activities of NGOs,16
October 2016,Repair of computers and objects for personal and household use,2
October 2016,Other service activities,46
October 2016,Housekeeping with paid staff,65
October 2016,Service activities and home production of various products for personal use,6
October 2016,Activities of extra territorial organisations and bodies,51
October 2016,Working from home,4
October 2016,Student,
October 2016,No work history,
October 2016,Uncertain,136
November 2016,Cultivation of crops and animal husbandry; hunting and related service activities,43
November 2016,Forestry and logging,9
November 2016,Fishing and aquaculture,125
November 2016,Coal mining,61
November 2016,Crude oil and natural gas production,2
November 2016,Metallurgy and metallurgy,2
November 2016,Mining and processing of other raw materials from the ground,1
November 2016,Mining services,
November 2016,Food production,182
November 2016,Manufacture of beverages,138
November 2016,Manufacture of textiles,19
November 2016,Clothing making,
November 2016,Manufacture of leather and leather products,5
November 2016,Manufacture of wood and of products of wood and cork; except furniture; manufacture of articles of straw and plaiting materials,26
November 2016,Manufacture of paper and paper products,
November 2016,Printing and duplication of recorded material,7
November 2016,Production of coke and refined petroleum products,3
November 2016,Manufacture of chemicals and chemical products,17
November 2016,Manufacture of pharmaceutical preparations and preparations,3
November 2016,Manufacture of rubber and plastic products,4
November 2016,Manufacture of non-metallic mineral products,8
November 2016,Manufacture of basic metals,6
November 2016,Manufacture of fabricated metal products; except machinery and equipment,12
November 2016,Manufacture of computer; electronic and optical products,29
November 2016,Manufacture of electrical and household appliances,23
November 2016,Manufacture of other machinery and equipment nec,1
November 2016,Manufacture of motor vehicles and trailers,2
November 2016,Manufacture of other vehicles,9
November 2016,Manufacture of furniture and fittings,
November 2016,Production; nec,8
November 2016,Repair and installation of hardware and equipment,1
November 2016,Electricity; gas and heating utilities; refrigeration and ventilation systems,13
November 2016,Water supply; collection and treatment of water,14
November 2016,Garbage collection; treatment and disposal of waste; material reuse,11
November 2016,Decontamination and other waste treatment services,1
November 2016,Housing construction; development of construction projects,
November 2016,Civil engineering,13
November 2016,Specialized construction activities,1
November 2016,Sale; repair and maintenance of motor vehicles and trailers,121
November 2016,Wholesale trade; except of motor vehicles and motorcycles,16
November 2016,Retail trade; except of motor vehicles and motorcycles,70
November 2016,Land transport and by pipeline,80
November 2016,Transport by sea and waterways,198
November 2016,Air transportation,356
November 2016,Warehousing and support activities for transport,45
November 2016,Post and courier services,28
November 2016,Operation of accommodation,50
November 2016,Catering and service,74
November 2016,Publishing activities,57
November 2016,Production of films; videos and television material; audio recording and music publishing,189
November 2016,Radio and television broadcasting; programming,227
November 2016,Telecommunications,35
November 2016,Information technology services,18
November 2016,Information service activities,22
November 2016,Financial services; excluding the activities of insurance companies and pension funds,17
November 2016,Insurance companies; reinsurance companies and pension funds; other than compulsory social security,70
November 2016,Activities related to financial services and insurance,13
November 2016,Real estate,100
November 2016,Legal services and accounting,7
November 2016,Headquarters operations; operations consultancy activities,12
November 2016,Activities of architects and engineers; technical tests and analysis,39
November 2016,Scientific research and development,26
November 2016,Advertising and marketing research,48
November 2016,Other professional; scientific and technical activities,30
November 2016,Veterinary medicine,16
November 2016,Rental activities; except real estate leasing,10
November 2016,Employment agency,21
November 2016,Travel agencies; tour operators and other booking services,1
November 2016,Security and research activities,36
November 2016,Real estate management; cleaning services and ornamental gardening,3
November 2016,Office services and other business services,69
November 2016,Public administration; defense and social security,20
November 2016,Educational activities,170
November 2016,Health care,41
November 2016,Care in residential homes,42
November 2016,Social services without a stay in an institution,185
November 2016,Creative arts and entertainment,80
November 2016,Museum activities and other cultural activities,84
November 2016,Financial risk and betting activities,53
November 2016,Sports and leisure activities,19
November 2016,Activities of NGOs,15
November 2016,Repair of computers and objects for personal and household use,2
November 2016,Other service activities,55
November 2016,Housekeeping with paid staff,57
November 2016,Service activities and home production of various products for personal use,6
November 2016,Activities of extra territorial organisations and bodies,55
November 2016,Working from home,2
November 2016,Student,1
November 2016,No work history,
November 2016,Uncertain,156
December 2016,Cultivation of crops and animal husbandry; hunting and related service activities,47
December 2016,Forestry and logging,12
December 2016,Fishing and aquaculture,599
December 2016,Coal mining,59
December 2016,Crude oil and natural gas production,2
